"","x"
"1",85
"2",89
"3",109
"4",95
"5",91
"6",95
"7",96
"8",128
"9",124
"10",111
"11",178
"12",140
"13",150
"14",132
"15",155
"16",132
"17",91
"18",94
"19",109
"20",155
"21",123
"22",130
"23",150
"24",163
"25",101
"26",123
"27",127
"28",112
"29",108
"30",116
"31",153
"32",163
"33",128
"34",142
"35",170
"36",214
"37",134
"38",122
"39",142
"40",156
"41",145
"42",169
"43",134
"44",165
"45",156
"46",111
"47",165
"48",197
"49",124
"50",124
"51",139
"52",137
"53",127
"54",134
"55",136
"56",171
"57",112
"58",110
"59",147
"60",196
"61",112
"62",118
"63",125
"64",122
"65",120
"66",118
"67",281
"68",344
"69",366
"70",362
"71",580
"72",523
"73",348
"74",246
"75",197
"76",306
"77",279
"78",280
"79",358
"80",431
"81",448
"82",433
"83",504
"84",579
"85",384
"86",335
"87",320
"88",496
"89",448
"90",377
"91",523
"92",468
"93",428
"94",520
"95",493
"96",662
"97",304
"98",308
"99",313
"100",328
"101",354
"102",338
"103",483
"104",355
"105",439
"106",290
"107",352
"108",454
"109",306
"110",303
"111",344
"112",254
"113",309
"114",310
"115",379
"116",294
"117",356
"118",318
"119",405
"120",545
"121",268
"122",243
"123",273
"124",273
"125",236
"126",222
"127",302
"128",285
"129",309
"130",322
"131",362
"132",471
"133",198
"134",253
"135",173
"136",186
"137",185
"138",105
"139",228
"140",214
"141",189
"142",270
"143",277
"144",378
"145",185
"146",182
"147",258
"148",179
"149",197
"150",168
"151",250
"152",211
"153",260
"154",234
"155",305
"156",347
"157",203
"158",217
"159",227
"160",242
"161",185
"162",175
"163",252
"164",319
"165",202
"166",254
"167",336
"168",431
"169",150
"170",280
"171",187
"172",279
"173",193
"174",227
"175",225
"176",205
"177",259
"178",254
"179",275
"180",394
"181",159
"182",230
"183",188
"184",195
"185",189
"186",220
"187",274
